trip_id,taxi_id,trip_seconds,trip_miles,trip_tips},trip_tolls,trip_extras,trip_total,trip_start_hour,trip_end_hour,trip_junk,trip_location_grid_start,trip_location_grid_end
c193f75abe3cfb1ab76c6699e67eec56ebffa7de,ea34edaf8618c3666ad12260840f143beb76e70a601ae6fbb764143353a3b2daaa85fd1aa1eb8a147e6f7d79f45ed65c20371ea3c4c63da0dcaab427f923a187,720,2.3,0.00,0.00,0.00,9.75,0,1,14,7,4
c1f5aafe24e3adfdbf964d4ecb310f0de1c4599c,12d0a7ef4578d2ccf43a5ede17e208aff5d266e8b338b3a902d2e1d877028f65528b3ee863ad41cf48ce9528e06ce9283df5ddc82ca4368165d91614fa9a1da1,900,3.5,0.00,0.00,0.00,12.50,0,1,7,4,16
c2a71b6a24aa744d9a33aaea5ee3b534c3c152c3,bec564bc76ead09ce3ff6220d91e4e0a1b7432a5dbeb76772259ac018af8e654b9898cf240da139399a0d5f6bdceebd4d3bbcda7bb711df2b53490d9b30087ea,480,0.1,0.00,0.00,0.00,9.00,0,0,7,6,20
c2adae9d11aeb4411fe4546a0d0f8a02187f2d18,008dda45db57cb6daa679a86ce8c8149ddc05446d545b19f3b6e201071e93b3a0d30a0a46204415c1d145a47e256bab70c8b0aebeb37ffefc985fdfc288d38d6,780,2.3,6.00,0.00,0.00,15.75,0,1,1,7,4
c755a810c9618d112d34e5f61c662a7d932481cb,89a40bbeb44e22e8169b4ba823c5eee94b324219fbe8c007ec52243acb7b0aed5ac28fc53132e13d6deb4fcd6eec8911cc70ac7233fe3bdd8f8a5ea6f23e5f71,300,0.7,2.00,0.00,0.00,7.50,0,0,1,4,4
c7e0595a1ef3b01082a821f1fc7c972f65812b60,86b44661584b9869c822d267a43f47b84ccaf76bfc402afea0028990b0e8329b4d79763b0d148412f5eafaf59bd8aa4c2c73f501efac831794acdf90cefe0a0f,411,0.3,0.00,0.00,5.00,15.50,0,0,0,17,18
d620864b359cf819bd4f05e077ebeead64345795,66d3807bc1b0bcf7c3b90c19f7c13356cdd60995199804afe2355e2736bf4a56d616f7f783596da3bdcb6b755c43d8b26818486f213604c04b6ebbcd9b99abc8,258,0.85,0.60,0.00,0.00,6.60,0,0,15,4,7
d83d4819cb34d4f34afc3b876516647907a86c4d,e11ecc8e74a2d3cbd2e9f58151ed09c81587cb491c50f6a057b6f024895132bc35bc50c09250dfeba9a7ca4b660fb3a06a6d67a3d0bb87c8254c39817ada8a1a,600,3.8,0.00,0.00,0.00,12.50,0,0,7,16,4
e41608bcfc6c68c0bb513848d265129f0b156d74,b356bddc907a5d00488570423373828875c2e12c0d28b4cf5bc913a49886a43eb216926b692a44f80f585ff3c0dff3451aeab9cce55d1214d1cee2b0fca7b283,300,1.4,1.00,0.00,1.00,8.75,0,0,16,4,19
ebe195040b02950afdda97ea6d564bf0f5c92e6d,23b9866f90ca40c6f83dad34292294e07e864e5b284a7dafa6f67d060a9b3be73864c1e4cf8d8a7da2b6bbb1935c02f812d38f1556e56be6de4a5b9917507105,300,0,3.00,0.00,0.00,9.25,0,0,1,7,4
